,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed,position,height,weight,Rating,oeff_rating,goal_rating,assist_rating,block_rating,mean_rating,composite_rating
1500,1500,1500,1500,mradhe,Matthew Radhe,45,1.27,0.8,0.47,0.58,9.47,90.83,0.24,0.87,0.0,0.22,0.4,0.0,0.38,,,,,,10.88,10.22,43.91,17.58,5.38,12.2,Handler,,,0.2884039813988491,0.43306394821377286,-0.06166480624707881,-0.8477131538947285,-1.6778374943026346,-0.1480089459159404,-0.5385378765576673
1501,1501,1501,1501,sschriner,Scott Schriner,12,4.17,2.75,1.42,0.58,51.83,91.34,2.33,4.08,0.17,0.33,0.83,0.0,0.0,,,,,,30.7,40.83,35.1,28.67,24.83,3.83,Handler,,,0.9500853750761544,-0.34591482220488134,-0.5925725304532297,0.035647082613187504,0.19197139717686648,-0.0287473077021622,-0.17771721821701425
1502,1502,1502,1502,ssottosan,Scott Sottosanti,12,6.42,4.0,2.42,0.58,37.67,84.17,2.75,6.58,0.0,0.33,1.08,0.0,0.33,,,,,,31.08,41.75,34.73,32.25,26.75,5.5,Handler,,,1.7081238718868057,-0.12791765559565665,0.3743788594516581,1.1899457528036594,0.1797985903570649,0.1954616789477036,0.40405138675418145
1503,1503,1503,1503,thansen,Thomas Hansen,19,0.32,0.05,0.26,0.58,1.95,,0.11,0.0,0.0,0.0,0.26,0.0,0.0,24.53,4.95,19.58,0.0,,12.56,6.0,50.0,10.68,0.42,10.26,Handler,,,-1.0747770264014294,0.04209741524491351,0.97597688009911,-0.4958972943327372,0.006515920161789582,0.04937882708388716,0.132173230293269
1504,1504,1504,1504,adavis,Aubrey Davis,14,2.07,1.21,0.86,0.57,13.07,88.83,0.57,1.64,0.07,0.07,0.21,0.0,1.43,,,,,,16.08,17.21,47.3,18.07,8.71,9.36,Handler,71.0,195.0,1.889113985619407,1.168124905156163,0.15345036695491157,-0.4686897734389414,-0.8749913739355304,-0.05544213082826449,-0.005526468815849284
1505,1505,1505,1505,adonadio,Alex Donadio,23,0.48,0.22,0.26,0.57,3.04,,0.43,0.3,0.0,0.04,0.43,0.0,0.13,44.91,18.3,26.61,0.09,,17.68,8.04,51.35,15.09,0.0,15.09,Handler,,,1.06606700574827,1.4621600748351578,0.46830607659615325,-0.5095960406260399,-0.463555374194577,-0.016250493406703228,0.2393286841526735
1506,1506,1506,1506,banderson,Brett Anderson,23,1.04,0.65,0.39,0.57,5.22,86.96,0.39,0.78,0.0,0.13,0.43,0.0,0.52,,,,,,11.79,12.13,35.84,14.78,5.61,9.17,Handler,,,-4.052591730313908,-1.8542535676490768,0.06055315734442844,0.2236749692806042,0.7833434860064842,0.07504053147894103,-0.19667048875439
1507,1507,1507,1507,broach,Brian Roach,21,0.86,0.48,0.38,0.57,2.81,,0.24,0.43,0.0,0.1,0.24,0.0,1.81,97.33,48.33,49.0,0.5,,10.53,7.95,45.51,11.86,2.71,9.14,Cutter,77.0,200.0,-2.2209579759531515,0.1578896341203905,-0.9458475752824751,0.4538649224254734,-0.3463866320051055,-0.03211027416269856,-0.1701199126854292
1508,1508,1508,1508,jgoodman,Justin Goodman,14,0.57,0.29,0.29,0.57,5.93,,0.5,0.36,0.0,0.07,0.43,0.0,2.93,,,,,,10.0,8.57,45.0,11.57,2.57,9.0,Handler,,150.0,0.3606360644999031,0.5637296959852415,0.5443760953085435,-0.18233247192957466,0.3419769796364272,0.057399570541137895,0.3169375747501593
1509,1509,1509,1509,khsunwang,Kuo Hsun Wang,14,1.07,0.5,0.57,0.57,5.29,,0.36,0.79,0.0,0.0,0.29,0.0,0.0,,,,,,11.88,11.21,45.22,14.93,1.86,13.07,Handler,,,0.4964960702381021,0.6313559770367438,0.6502748689609631,-0.2889143808123412,-0.3477792195584945,0.030517213457951064,0.1612343114067178
1510,1510,1510,1510,sdarroh,Steven Darroh,14,0.64,0.29,0.36,0.57,3.57,,0.29,0.36,0.0,0.0,0.29,0.0,0.0,,,,,,12.82,11.0,48.7,14.43,0.43,14.0,Handler,,,1.5989666685821466,1.2268863519989694,0.29921668782288174,-0.4169898234169763,-0.7192349124899183,-0.030305675902522502,0.09746957597873909
